mtknr;stg;pversion;pnr;pform;dtxt;psem
165000;AB;161;6010;KL;Klausur;20192
165099;AB;161;6010;KL;Klausur;20192
165157;AB;161;6010;KL;Klausur;20192
165328;AB;161;6010;KL;Klausur;20192
165362;AB;161;6010;KL;Klausur;20192
165373;AB;161;6010;KL;Klausur;20192
165395;AB;161;6010;KL;Klausur;20192
165408;AB;161;6010;KL;Klausur;20192
165419;AB;161;6010;KL;Klausur;20192
165420;AB;161;6010;KL;Klausur;20192
165442;AB;161;6010;KL;Klausur;20192
165464;AB;161;6010;KL;Klausur;20192
165475;AB;161;6010;KL;Klausur;20192
165500;AB;161;6010;KL;Klausur;20192
165511;AB;161;6010;KL;Klausur;20192
165522;AB;161;6010;KL;Klausur;20192
165533;AB;161;6010;KL;Klausur;20192
165555;AB;161;6010;KL;Klausur;20192
165588;AB;161;6010;KL;Klausur;20192
165599;AB;161;6010;KL;Klausur;20192
165613;AB;161;6010;KL;Klausur;20192
165624;AB;161;6010;KL;Klausur;20192
165646;AB;161;6010;KL;Klausur;20192
165679;AB;161;6010;KL;Klausur;20192
165704;AB;161;6010;KL;Klausur;20192
165760;AB;161;6010;KL;Klausur;20192
165828;AB;161;6010;KL;Klausur;20192
165839;AB;161;6010;KL;Klausur;20192
165884;AB;161;6010;KL;Klausur;20192
165919;AB;161;6010;KL;Klausur;20192
165931;AB;161;6010;KL;Klausur;20192
165953;AB;161;6010;KL;Klausur;20192
165964;AB;161;6010;KL;Klausur;20192
165997;AB;161;6010;KL;Klausur;20192
166014;AB;161;6010;KL;Klausur;20192
166821;AB;161;6010;KL;Klausur;20192
166912;AB;161;6010;KL;Klausur;20192
167062;AB;161;17230;KL;Klausur;20192
167391;AB;161;17230;KL;Klausur;20192
167584;AB;161;17230;KL;Klausur;20192
167744;AB;161;17230;KL;Klausur;20192
167766;AB;161;17230;KL;Klausur;20192
167982;AB;161;17230;KL;Klausur;20192
168087;AB;161;17230;KL;Klausur;20192
168101;AB;161;17230;KL;Klausur;20192
168316;AB;161;17230;KL;Klausur;20192
168349;AB;161;17230;KL;Klausur;20192
167040;AB;161;18900;KL;Klausur;20192
167335;AB;161;18900;KL;Klausur;20192
167391;AB;161;18900;KL;Klausur;20192
167482;AB;161;18900;KL;Klausur;20192
1000004;AB;161;18900;KL;Klausur;20192
167164;AB;161;19160;KL;Klausur;20192
167471;AB;161;19160;KL;Klausur;20192
167846;AB;161;19160;KL;Klausur;20192
168112;AB;161;19160;KL;Klausur;20192
168125;AB;161;19160;KL;Klausur;20192
168281;AB;161;19160;KL;Klausur;20192
1000103;AB;192;1921010;KL;Klausur;20192
1000126;AB;192;1921010;KL;Klausur;20192
1000128;AB;192;1921010;KL;Klausur;20192
1000219;AB;192;1921010;KL;Klausur;20192
1000220;AB;192;1921010;KL;Klausur;20192
1000221;AB;192;1921010;KL;Klausur;20192
